step,year,event_title,full_cession_footprint_area_sqmi,swallowed_by_us_area_sqmi,remaining_outside_us_area_sqmi
1,1783,Treaty of Paris,2379718,484206,1895512
2,1787,Northwest Territory,2379718,484206,1895512
3,1803,Louisiana Purchase,2379718,1316717,1063001
4,1814,Treaty of Fort Jackson / post-War of 1812 treaty wave,2379718,1617790,761928
5,1824,Pre-removal treaty wave,2379718,1574639,805079
6,1830,Indian Removal Act,2379718,1574639,805079
7,1838,Trail of Tears,2379718,1860082,519636
8,1848,Mexican Cession,2379718,2343197,36521
9,1851,Reservation policy era,2379718,2343197,36521
10,1887,Dawes Act / allotment era,2379718,2372528,7190
11,2010,Present-day reservations,2379718,2372528,7190
